Age,Income,Eco_Awareness,Event_Frequency,Online_Shopper,Preferred_Product,Monthly_Spend,Purchase_Intent
56,Medium,1,0,1,Bowls,237.85,0
46,Low,4,6,0,Trays,787.37,1
32,Medium,5,7,0,Spoons,787.92,1
25,Medium,5,6,0,Combo Pack,914.86,1
38,Low,4,3,0,Spoons,649.91,0
56,Medium,5,7,0,Bowls,957.0,1
36,Low,2,4,1,Trays,502.69,0
40,High,4,9,1,Plates,883.69,1
28,Medium,2,8,0,Trays,727.87,0
28,High,2,9,1,Bowls,781.61,1
41,Medium,3,4,0,Plates,634.12,0
53,Low,4,0,0,Spoons,547.33,0
57,Medium,5,8,1,Combo Pack,1030.2,1
41,High,2,4,1,Combo Pack,479.5,0
20,Medium,3,5,1,Trays,646.46,1
39,High,4,3,1,Spoons,654.56,1
19,High,4,5,1,Bowls,755.38,1
41,Low,1,7,1,Combo Pack,599.91,1
47,Low,1,2,0,Spoons,332.18,0
55,Medium,2,4,1,Trays,603.87,0
19,Medium,1,1,1,Plates,360.32,0
38,High,2,1,1,Trays,353.98,0
50,High,5,6,0,Trays,708.17,1
29,Low,2,9,1,Spoons,811.84,1
39,Low,1,9,1,Combo Pack,622.98,1
42,Medium,5,9,0,Spoons,1009.93,1
44,Low,1,5,1,Plates,430.08,1
59,High,2,3,0,Spoons,427.67,0
45,Medium,3,4,0,Bowls,630.61,0
33,Medium,4,0,1,Trays,422.03,1
32,Low,1,6,0,Combo Pack,446.11,0
20,Medium,2,7,0,Plates,667.16,0
54,Medium,5,8,1,Trays,1031.15,1
24,Medium,1,7,1,Spoons,582.08,1
38,Low,1,4,0,Bowls,360.65,0
26,Medium,4,2,1,Spoons,551.09,1
56,High,2,9,1,Trays,724.67,1
35,Low,3,8,1,Plates,811.99,1
21,Low,5,5,1,Combo Pack,924.27,1
42,Low,2,4,1,Trays,397.63,0
31,Medium,5,2,0,Plates,688.96,0
26,Medium,1,5,0,Trays,383.37,0
43,Medium,4,2,1,Bowls,517.39,1
19,Low,4,9,1,Spoons,998.35,1
37,Low,3,5,0,Combo Pack,677.23,0
45,Medium,4,3,1,Plates,672.47,1
24,Medium,1,1,1,Combo Pack,296.05,0
25,High,3,7,0,Combo Pack,726.01,0
